,date,year,month,day,weekday,weekday_name,weeknumber,is_weekend,is_business_day,is_holiday,holiday_name
0,2017-01-01,2016,1,1,7,Sunday,52,1,0,1, Yılbaşı
1,2017-01-02,2017,1,2,1,Monday,1,0,1,0,
2,2017-01-03,2017,1,3,2,Tuesday,1,0,1,0,
3,2017-01-04,2017,1,4,3,Wednesday,1,0,1,0,
4,2017-01-05,2017,1,5,4,Thursday,1,0,1,0,
5,2017-01-06,2017,1,6,5,Friday,1,0,1,0,
6,2017-01-07,2017,1,7,6,Saturday,1,1,0,0,
7,2017-01-08,2017,1,8,7,Sunday,1,1,0,0,
8,2017-01-09,2017,1,9,1,Monday,2,0,1,0,
9,2017-01-10,2017,1,10,2,Tuesday,2,0,1,0,
10,2017-01-11,2017,1,11,3,Wednesday,2,0,1,0,
11,2017-01-12,2017,1,12,4,Thursday,2,0,1,0,
12,2017-01-13,2017,1,13,5,Friday,2,0,1,0,
13,2017-01-14,2017,1,14,6,Saturday,2,1,0,0,
14,2017-01-15,2017,1,15,7,Sunday,2,1,0,0,
15,2017-01-16,2017,1,16,1,Monday,3,0,1,0,
16,2017-01-17,2017,1,17,2,Tuesday,3,0,1,0,
17,2017-01-18,2017,1,18,3,Wednesday,3,0,1,0,
18,2017-01-19,2017,1,19,4,Thursday,3,0,1,0,
19,2017-01-20,2017,1,20,5,Friday,3,0,1,0,
20,2017-01-21,2017,1,21,6,Saturday,3,1,0,0,
21,2017-01-22,2017,1,22,7,Sunday,3,1,0,0,
22,2017-01-23,2017,1,23,1,Monday,4,0,1,0,
23,2017-01-24,2017,1,24,2,Tuesday,4,0,1,0,
24,2017-01-25,2017,1,25,3,Wednesday,4,0,1,0,
25,2017-01-26,2017,1,26,4,Thursday,4,0,1,0,
26,2017-01-27,2017,1,27,5,Friday,4,0,1,0,
27,2017-01-28,2017,1,28,6,Saturday,4,1,0,0,
28,2017-01-29,2017,1,29,7,Sunday,4,1,0,0,
29,2017-01-30,2017,1,30,1,Monday,5,0,1,0,
30,2017-01-31,2017,1,31,2,Tuesday,5,0,1,0,
31,2017-02-01,2017,2,1,3,Wednesday,5,0,1,0,
32,2017-02-02,2017,2,2,4,Thursday,5,0,1,0,
33,2017-02-03,2017,2,3,5,Friday,5,0,1,0,
34,2017-02-04,2017,2,4,6,Saturday,5,1,0,0,
35,2017-02-05,2017,2,5,7,Sunday,5,1,0,0,
36,2017-02-06,2017,2,6,1,Monday,6,0,1,0,
37,2017-02-07,2017,2,7,2,Tuesday,6,0,1,0,
38,2017-02-08,2017,2,8,3,Wednesday,6,0,1,0,
39,2017-02-09,2017,2,9,4,Thursday,6,0,1,0,
40,2017-02-10,2017,2,10,5,Friday,6,0,1,0,
41,2017-02-11,2017,2,11,6,Saturday,6,1,0,0,
42,2017-02-12,2017,2,12,7,Sunday,6,1,0,0,
43,2017-02-13,2017,2,13,1,Monday,7,0,1,0,
44,2017-02-14,2017,2,14,2,Tuesday,7,0,1,0,
45,2017-02-15,2017,2,15,3,Wednesday,7,0,1,0,
46,2017-02-16,2017,2,16,4,Thursday,7,0,1,0,
47,2017-02-17,2017,2,17,5,Friday,7,0,1,0,
48,2017-02-18,2017,2,18,6,Saturday,7,1,0,0,
49,2017-02-19,2017,2,19,7,Sunday,7,1,0,0,
50,2017-02-20,2017,2,20,1,Monday,8,0,1,0,
51,2017-02-21,2017,2,21,2,Tuesday,8,0,1,0,
52,2017-02-22,2017,2,22,3,Wednesday,8,0,1,0,
53,2017-02-23,2017,2,23,4,Thursday,8,0,1,0,
54,2017-02-24,2017,2,24,5,Friday,8,0,1,0,
55,2017-02-25,2017,2,25,6,Saturday,8,1,0,0,
56,2017-02-26,2017,2,26,7,Sunday,8,1,0,0,
57,2017-02-27,2017,2,27,1,Monday,9,0,1,0,
58,2017-02-28,2017,2,28,2,Tuesday,9,0,1,0,
59,2017-03-01,2017,3,1,3,Wednesday,9,0,1,0,
60,2017-03-02,2017,3,2,4,Thursday,9,0,1,0,
61,2017-03-03,2017,3,3,5,Friday,9,0,1,0,
62,2017-03-04,2017,3,4,6,Saturday,9,1,0,0,
63,2017-03-05,2017,3,5,7,Sunday,9,1,0,0,
64,2017-03-06,2017,3,6,1,Monday,10,0,1,0,
65,2017-03-07,2017,3,7,2,Tuesday,10,0,1,0,
66,2017-03-08,2017,3,8,3,Wednesday,10,0,1,0,
67,2017-03-09,2017,3,9,4,Thursday,10,0,1,0,
68,2017-03-10,2017,3,10,5,Friday,10,0,1,0,
69,2017-03-11,2017,3,11,6,Saturday,10,1,0,0,
70,2017-03-12,2017,3,12,7,Sunday,10,1,0,0,
71,2017-03-13,2017,3,13,1,Monday,11,0,1,0,
72,2017-03-14,2017,3,14,2,Tuesday,11,0,1,0,
73,2017-03-15,2017,3,15,3,Wednesday,11,0,1,0,
74,2017-03-16,2017,3,16,4,Thursday,11,0,1,0,
75,2017-03-17,2017,3,17,5,Friday,11,0,1,0,
76,2017-03-18,2017,3,18,6,Saturday,11,1,0,0,
77,2017-03-19,2017,3,19,7,Sunday,11,1,0,0,
78,2017-03-20,2017,3,20,1,Monday,12,0,1,0,
79,2017-03-21,2017,3,21,2,Tuesday,12,0,1,0,
80,2017-03-22,2017,3,22,3,Wednesday,12,0,1,0,
81,2017-03-23,2017,3,23,4,Thursday,12,0,1,0,
82,2017-03-24,2017,3,24,5,Friday,12,0,1,0,
83,2017-03-25,2017,3,25,6,Saturday,12,1,0,0,
84,2017-03-26,2017,3,26,7,Sunday,12,1,0,0,
85,2017-03-27,2017,3,27,1,Monday,13,0,1,0,
86,2017-03-28,2017,3,28,2,Tuesday,13,0,1,0,
87,2017-03-29,2017,3,29,3,Wednesday,13,0,1,0,
88,2017-03-30,2017,3,30,4,Thursday,13,0,1,0,
89,2017-03-31,2017,3,31,5,Friday,13,0,1,0,
90,2017-04-01,2017,4,1,6,Saturday,13,1,0,0,
91,2017-04-02,2017,4,2,7,Sunday,13,1,0,0,
92,2017-04-03,2017,4,3,1,Monday,14,0,1,0,
93,2017-04-04,2017,4,4,2,Tuesday,14,0,1,0,
94,2017-04-05,2017,4,5,3,Wednesday,14,0,1,0,
95,2017-04-06,2017,4,6,4,Thursday,14,0,1,0,
96,2017-04-07,2017,4,7,5,Friday,14,0,1,0,
97,2017-04-08,2017,4,8,6,Saturday,14,1,0,0,
98,2017-04-09,2017,4,9,7,Sunday,14,1,0,0,
99,2017-04-10,2017,4,10,1,Monday,15,0,1,0,
100,2017-04-11,2017,4,11,2,Tuesday,15,0,1,0,
101,2017-04-12,2017,4,12,3,Wednesday,15,0,1,0,
102,2017-04-13,2017,4,13,4,Thursday,15,0,1,0,
103,2017-04-14,2017,4,14,5,Friday,15,0,1,0,
104,2017-04-15,2017,4,15,6,Saturday,15,1,0,0,
105,2017-04-16,2017,4,16,7,Sunday,15,1,0,0,
106,2017-04-17,2017,4,17,1,Monday,16,0,1,0,
107,2017-04-18,2017,4,18,2,Tuesday,16,0,1,0,
108,2017-04-19,2017,4,19,3,Wednesday,16,0,1,0,
109,2017-04-20,2017,4,20,4,Thursday,16,0,1,0,
110,2017-04-21,2017,4,21,5,Friday,16,0,1,0,
111,2017-04-22,2017,4,22,6,Saturday,16,1,0,0,
112,2017-04-23,2017,4,23,7,Sunday,16,1,0,1, Ulusal Egemenlik ve Çocuk Bayramı
113,2017-04-24,2017,4,24,1,Monday,17,0,1,0,
114,2017-04-25,2017,4,25,2,Tuesday,17,0,1,0,
115,2017-04-26,2017,4,26,3,Wednesday,17,0,1,0,
116,2017-04-27,2017,4,27,4,Thursday,17,0,1,0,
117,2017-04-28,2017,4,28,5,Friday,17,0,1,0,
118,2017-04-29,2017,4,29,6,Saturday,17,1,0,0,
119,2017-04-30,2017,4,30,7,Sunday,17,1,0,0,
120,2017-05-01,2017,5,1,1,Monday,18,0,0,1, Emek ve Dayanışma Günü
121,2017-05-02,2017,5,2,2,Tuesday,18,0,1,0,
122,2017-05-03,2017,5,3,3,Wednesday,18,0,1,0,
123,2017-05-04,2017,5,4,4,Thursday,18,0,1,0,
124,2017-05-05,2017,5,5,5,Friday,18,0,1,0,
125,2017-05-06,2017,5,6,6,Saturday,18,1,0,0,
126,2017-05-07,2017,5,7,7,Sunday,18,1,0,0,
